card_id,name_ko,name_en,source,index,text_en,rule,confidence,score_low,score_baseline,score_high,basis
BEAM_CELL,레이저 포인터,Beam Cell,clause,2,Apply 1 Vulnerable.,atomic_fixed,medium,2.0,2.0,2.0,v3 quantified/scenario rule
BEAT_DOWN,두들겨 패기,Beat Down,clause,1,Play 3 random Attacks from your Discard Pile.,auto_play_from_pile,low,6.0,12.0,21.0,average auto-played card
BEAT_INTO_SHAPE,재성형,Beat into Shape,clause,1,Deal 5 damage.,atomic_fixed,high,2.5,2.5,2.5,v3 quantified/scenario rule
BEAT_INTO_SHAPE,재성형,Beat into Shape,clause,2,Forge X.,atomic_fixed+x_value,low,0.33,0.66,1.32,v3 quantified/scenario rule
BEAT_INTO_SHAPE,재성형,Beat into Shape,clause,3,Forges an additional 5 for every other time you've hit the enemy this turn.,forge_per_prior_hit,low,0.0,3.63,16.5,Forge unit × prior-hit scenarios
BECKON,유인,Beckon,clause,1,"At the end of your turn, if this is in your Hand, lose 6 HP.",atomic_fixed+condition_probability+recurring_turns,medium,-19.8,-8.547,-0.0,v3 quantified/scenario rule
BEGONE,물렀거라!,BEGONE!,clause,1,Choose a card in your Hand to Transform into Minion Strike.,transform_to_minion_strike,medium,3.25,3.25,3.25,Minion Strike damage/draw/Exhaust net value
BELIEVE_IN_YOU,너만 믿는다,Believe in You,clause,1,Another player gains 2 Energy.,coop_energy,medium,3.75,3.75,3.75,Energy × ally factor
BIASED_COGNITION,인지 편향,Biased Cognition,clause,1,Gain 4 Focus.,atomic_fixed,medium,26.0,26.0,26.0,v3 quantified/scenario rule
BIASED_COGNITION,인지 편향,Biased Cognition,clause,2,"At the start of your turn, lose 1 Focus.",atomic_lose_focus_conditional_stock+recurring_turns,low,-39.0,-24.05,0.0,v3 quantified/scenario rule
BIG_BANG,빅뱅,Big Bang,clause,1,Draw 1 card.,atomic_fixed,medium,1.25,1.25,1.25,v3 quantified/scenario rule
BIG_BANG,빅뱅,Big Bang,clause,2,Gain 1 Energy.,atomic_fixed,medium,2.5,2.5,2.5,v3 quantified/scenario rule
BIG_BANG,빅뱅,Big Bang,clause,3,Gain 1 Stars.,atomic_fixed,low,1.5,1.5,1.5,v3 quantified/scenario rule
BIG_BANG,빅뱅,Big Bang,clause,4,Forge 5.,atomic_fixed,medium,1.65,1.65,1.65,v3 quantified/scenario rule
BIG_BANG,빅뱅,Big Bang,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
BLACK_HOLE,블랙홀,Black Hole,clause,1,"Whenever you spend or gain 1 Stars, deal 3 damage to ALL enemies.",atomic_fixed+event_triggers,low,1.95,6.825,35.1,v3 quantified/scenario rule
BLADE_DANCE,검무,Blade Dance,clause,1,Add 3 Shivs into your Hand.,atomic_fixed,high,5.7,5.7,5.7,v3 quantified/scenario rule
BLADE_DANCE,검무,Blade Dance,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
BLADE_OF_INK,잉크 칼날,Blade of Ink,clause,1,Add 2 Inky Shivs into your Hand.,atomic_inky_shiv,high,5.0,5.0,5.0,v3 quantified/scenario rule
BLIGHT_STRIKE,역병 타격,Blight Strike,clause,1,Deal 8 damage.,atomic_fixed,high,4.0,4.0,4.0,v3 quantified/scenario rule
BLIGHT_STRIKE,역병 타격,Blight Strike,clause,2,Apply Doom equal to damage dealt.,doom_equal_damage,high,2.16,2.16,2.16,v3 quantified/scenario rule
BLOODLETTING,사혈,Bloodletting,clause,1,Lose 3 HP.,atomic_fixed,high,-1.65,-1.65,-1.65,v3 quantified/scenario rule
BLOODLETTING,사혈,Bloodletting,clause,2,Gain 2 Energy.,atomic_fixed,medium,5.0,5.0,5.0,v3 quantified/scenario rule
BLOOD_WALL,피의 벽,Blood Wall,clause,1,Lose 2 HP.,atomic_fixed,high,-1.1,-1.1,-1.1,v3 quantified/scenario rule
BLOOD_WALL,피의 벽,Blood Wall,clause,2,Gain 16 Block.,atomic_fixed,high,9.6,9.6,9.6,v3 quantified/scenario rule
BLUDGEON,몽둥이질,Bludgeon,clause,1,Deal 32 damage.,atomic_fixed,high,16.0,16.0,16.0,v3 quantified/scenario rule
BLUR,흐릿함,Blur,clause,1,Gain 5 Block.,atomic_fixed,high,3.0,3.0,3.0,v3 quantified/scenario rule
BLUR,흐릿함,Blur,clause,2,Block is not removed at the start of your next turn.,retain_block_once,low,2.0,5.0,10.0,carried Block
BODYGUARD,호위,Bodyguard,clause,1,Summon 5.,atomic_fixed,high,5.5,5.5,5.5,v3 quantified/scenario rule
BODY_SLAM,몸통 박치기,Body Slam,clause,1,Deal damage equal to your Block.,equal_to_quantity,low,2.5,7.5,15.0,v3 quantified/scenario rule
BOLAS,사냥돌,Bolas,clause,1,Deal 3 damage.,atomic_fixed,high,1.5,1.5,1.5,v3 quantified/scenario rule
BOLAS,사냥돌,Bolas,clause,2,"At the start of your next turn, return this to your Hand.",atomic_delayed_self_return,low,2.4,2.4,2.4,v3 quantified/scenario rule
BOMBARDMENT,포격,Bombardment,clause,1,Deal 18 damage.,atomic_fixed,high,9.0,9.0,9.0,v3 quantified/scenario rule
BOMBARDMENT,포격,Bombardment,clause,2,"At the start of your turn, if this is in your Exhaust Pile, play it.",self_auto_replay,low,5.0,14.0,20.0,fraction of card benchmark replayed
BOMBARDMENT,포격,Bombardment,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
BONE_SHARDS,뼛조각,Bone Shards,clause,1,"If Osty is alive, he deals 9 damage to ALL enemies and you gain 9 Block.",osty_alive_combo,medium,0.0,7.465,10.665,conditional damage plus Block
BONE_SHARDS,뼛조각,Bone Shards,clause,2,Osty dies.,osty_death,low,-25.0,-10.0,-3.0,lost companion HP/attacks
BOOST_AWAY,가속 이탈,Boost Away,clause,1,Gain 6 Block.,atomic_fixed,high,3.6,3.6,3.6,v3 quantified/scenario rule
BOOST_AWAY,가속 이탈,Boost Away,clause,2,Add a Dazed into your Discard Pile.,atomic_fixed,high,-0.9,-0.9,-0.9,v3 quantified/scenario rule
BOOT_SEQUENCE,부팅 과정,Boot Sequence,clause,1,Gain 10 Block.,atomic_fixed,high,6.0,6.0,6.0,v3 quantified/scenario rule
BOOT_SEQUENCE,부팅 과정,Boot Sequence,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
BOOT_SEQUENCE,부팅 과정,Boot Sequence,keyword,,keyword_innate,keyword_innate,medium,0.5,0.5,0.5,v1 keyword calibration
BORROWED_TIME,연명,Borrowed Time,clause,1,Gain 4 Energy.,atomic_fixed,medium,10.0,10.0,10.0,v3 quantified/scenario rule
BORROWED_TIME,연명,Borrowed Time,clause,2,Cards cost an additional 1 Energy this turn.,hand_cost_increase,low,-10.0,-5.0,-2.5,affected cards this turn
BOUNCING_FLASK,탄성 플라스크,Bouncing Flask,clause,1,Apply 3 Poison to a random enemy 3 times.,atomic_random_target_poison,low,8.1,8.1,8.1,v3 quantified/scenario rule
BRAND,낙인,Brand,clause,1,Lose 1 HP.,atomic_fixed,high,-0.55,-0.55,-0.55,v3 quantified/scenario rule
BRAND,낙인,Brand,clause,2,Exhaust 1 card.,atomic_selected_exhaust,high,1.0,1.0,1.0,v3 quantified/scenario rule
BRAND,낙인,Brand,clause,3,Gain 1 Strength.,atomic_fixed,high,3.25,3.25,3.25,v3 quantified/scenario rule
BREAK,박살,Break,clause,1,Deal 20 damage.,atomic_fixed,high,10.0,10.0,10.0,v3 quantified/scenario rule
BREAK,박살,Break,clause,2,Apply 5 Vulnerable.,atomic_fixed,medium,10.0,10.0,10.0,v3 quantified/scenario rule
BREAKTHROUGH,정면 돌파,Breakthrough,clause,1,Lose 1 HP.,atomic_fixed,high,-0.55,-0.55,-0.55,v3 quantified/scenario rule
BREAKTHROUGH,정면 돌파,Breakthrough,clause,2,Deal 9 damage to ALL enemies.,atomic_fixed,high,5.85,5.85,5.85,v3 quantified/scenario rule
BRIGHTEST_FLAME,찬란한 불꽃,Brightest Flame,clause,1,Gain 2 Energy.,atomic_fixed,medium,5.0,5.0,5.0,v3 quantified/scenario rule
BRIGHTEST_FLAME,찬란한 불꽃,Brightest Flame,clause,2,Draw 2 cards.,atomic_fixed,medium,3.4,3.4,3.4,v3 quantified/scenario rule
BRIGHTEST_FLAME,찬란한 불꽃,Brightest Flame,clause,3,Lose 1 Max HP.,meta_max_hp_loss,medium,-1.5,-1.5,-1.5,persistent Max HP penalty
BUBBLE_BUBBLE,차오르는 독,Bubble Bubble,clause,1,"If the enemy has Poison, apply 9 Poison.",atomic_fixed+condition_probability,medium,0.0,6.3,9.0,v3 quantified/scenario rule
BUFFER,버퍼,Buffer,clause,1,Prevent the next time you would lose HP.,buffer_prevention,low,3.0,8.0,18.0,prevented HP-loss event
BULK_UP,증강,Bulk Up,clause,1,Lose 1 Orb Slot.,atomic_orb_slot_loss,high,-2.5,-2.5,-2.5,v3 quantified/scenario rule
BULK_UP,증강,Bulk Up,clause,2,Gain 2 Strength.,atomic_fixed,high,6.5,6.5,6.5,v3 quantified/scenario rule
BULK_UP,증강,Bulk Up,clause,3,Gain 2 Dexterity.,atomic_fixed,high,6.5,6.5,6.5,v3 quantified/scenario rule
BULLET_TIME,불릿 타임,Bullet Time,clause,1,You cannot draw additional cards this turn.,atomic_no_more_draw,low,-5.55,-3.4,0.0,v3 quantified/scenario rule
BULLET_TIME,불릿 타임,Bullet Time,clause,2,ALL cards in your Hand are free to play this turn.,atomic_free_hand,low,2.5,12.5,25.0,v3 quantified/scenario rule
BULLY,협박,Bully,clause,1,Deal 4 damage.,atomic_fixed,high,2.0,2.0,2.0,v3 quantified/scenario rule
BULLY,협박,Bully,clause,2,Deals 2 additional damage for each Vulnerable on the enemy.,additional_damage_scaling,medium,1.0,2.2,10.0,damage unit × reference count
BULWARK,보루,Bulwark,clause,1,Gain 12 Block.,atomic_fixed,high,7.2,7.2,7.2,v3 quantified/scenario rule
BULWARK,보루,Bulwark,clause,2,Forge 10.,atomic_fixed,medium,3.3,3.3,3.3,v3 quantified/scenario rule
BUNDLE_OF_JOY,기쁨의 선물,Bundle of Joy,clause,1,Add 3 random Colorless cards into your Hand.,three_random_colorless_diminishing,low,5.0,7.5,10.0,three random cards with hand-clog and diminishing-choice discount
BUNDLE_OF_JOY,기쁨의 선물,Bundle of Joy,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
BURN,화상,Burn,clause,1,"At the end of your turn, if this is in your Hand, take 2 damage.",atomic_self_damage+condition_probability+recurring_turns,medium,-6.6,-2.849,-0.0,v3 quantified/scenario rule
BURN,화상,Burn,keyword,,keyword_unplayable,keyword_unplayable,medium,-2.0,-1.25,-0.75,draw/hand clog
BURNING_PACT,불타는 조약,Burning Pact,clause,1,Exhaust 1 card.,atomic_selected_exhaust,high,1.0,1.0,1.0,v3 quantified/scenario rule
BURNING_PACT,불타는 조약,Burning Pact,clause,2,Draw 2 cards.,atomic_fixed,medium,3.4,3.4,3.4,v3 quantified/scenario rule
BURST,폭주,Burst,clause,1,"This turn, your next Skill is played an extra time.",next_card_replay,low,2.0,5.0,10.0,average repeated card effect
BURY,매장,Bury,clause,1,Deal 52 damage.,atomic_fixed,high,26.0,26.0,26.0,v3 quantified/scenario rule
BYRDONIS_EGG,섀도니스 알,Byrdonis Egg,clause,1,Can be hatched at a Rest Site.,meta_event_unlock,low,0.0,4.0,12.0,future event value kept separate from combat evidence
BYRDONIS_EGG,섀도니스 알,Byrdonis Egg,keyword,,keyword_unplayable,keyword_unplayable,medium,-2.0,-1.25,-0.75,draw/hand clog
BYRD_SWOOP,섀 급습,Byrd Swoop,clause,1,Deal 14 damage.,atomic_fixed,high,7.0,7.0,7.0,v3 quantified/scenario rule
CALAMITY,재앙,Calamity,clause,1,"Whenever you play an Attack, add a random Attack into your Hand.",atomic_random_attack_card+event_triggers,low,3.0,10.5,54.0,v3 quantified/scenario rule
CALCIFY,석회화,Calcify,clause,1,Osty's attacks deal 4 additional damage.,osty_damage_aura,low,1.8,6.3,32.4,future Osty hits
CALCULATED_GAMBLE,계산된 도박,Calculated Gamble,clause,1,"Discard your Hand, then draw that many cards.",hand_redraw_equal,low,1.0,4.0,8.0,hand replacement and discard synergy; hand-size scenarios
CALCULATED_GAMBLE,계산된 도박,Calculated Gamble,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
CALL_OF_THE_VOID,공허의 부름,Call of the Void,clause,1,"At the start of your turn, add 1 random card into your Hand.",atomic_random_card_card+recurring_turns,low,4.5,11.1,18.0,v3 quantified/scenario rule
CALL_OF_THE_VOID,공허의 부름,Call of the Void,clause,2,It gains Ethereal.,generated_card_ethereal,medium,-1.25,-0.75,-0.25,reduced generated-card availability
CALTROPS,마름쇠,Caltrops,clause,1,"Whenever you are attacked, deal 3 damage back.",retaliation_damage,low,1.5,4.5,12.0,damage unit × incoming-hit scenarios
CAPACITOR,축전기,Capacitor,clause,1,Gain 2 Orb Slots.,atomic_orb_slot,medium,5.0,5.0,5.0,v3 quantified/scenario rule
CAPTURE_SPIRIT,혼령 포획,Capture Spirit,clause,1,Enemy loses 3 HP.,atomic_hp_bypass,high,1.65,1.65,1.65,v3 quantified/scenario rule
CAPTURE_SPIRIT,혼령 포획,Capture Spirit,clause,2,Add 3 Souls into your Draw Pile.,atomic_fixed,medium,3.0,3.0,3.0,v3 quantified/scenario rule
CASCADE,연쇄,Cascade,clause,1,Play the top X cards of your Draw Pile.,x_topdeck_autoplay,low,2.0,8.0,28.0,average auto-play value × X=1/2/4
CATASTROPHE,재난,Catastrophe,clause,1,Play 2 random cards from your Draw Pile.,auto_play_from_pile,low,4.0,8.0,14.0,average auto-played card
CELESTIAL_MIGHT,천상의 권능,Celestial Might,clause,1,Deal 6 damage 3 times.,atomic_fixed,high,9.0,9.0,9.0,v3 quantified/scenario rule
CELESTIAL_MIGHT,천상의 권능,Celestial Might,interaction,,multi_hit_strength_synergy,multi_hit_strength_synergy,medium,0.0,0.5,1.5,V3 cross-effect interaction
CHAOS,혼돈,Chaos,clause,1,Channel 1 random Orb.,random_orb,medium,3.2,3.2,3.2,mean channel value
CHARGE,돌격!!,CHARGE!!,clause,1,Choose 2 cards in your Draw Pile to Transform into Minion Dive Bombs.,transform_two_to_dive_bombs,low,5.0,8.0,11.0,two zero-cost 13-damage outputs minus replaced cards
CHARGE_BATTERY,배터리 충전,Charge Battery,clause,1,Gain 7 Block.,atomic_fixed,high,4.2,4.2,4.2,v3 quantified/scenario rule
CHARGE_BATTERY,배터리 충전,Charge Battery,clause,2,"Next turn, gain 1 Energy.",atomic_fixed+delay_next_turn,medium,2.0,2.0,2.0,v3 quantified/scenario rule
CHILD_OF_THE_STARS,별의 아이,Child of the Stars,clause,1,"Whenever you spend 1 Stars, gain 2 Block for each 1 Stars spent.",atomic_fixed+event_triggers+scaling_count,low,1.2,9.24,216.0,v3 quantified/scenario rule
CHILL,오한,Chill,clause,1,Channel 1 Frost for each enemy.,atomic_fixed+scaling_count,low,3.2,7.04,32.0,v3 quantified/scenario rule
CHILL,오한,Chill,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
CINDER,잿불,Cinder,clause,1,Deal 18 damage.,atomic_fixed,high,9.0,9.0,9.0,v3 quantified/scenario rule
CINDER,잿불,Cinder,clause,2,Exhaust 1 card at random.,atomic_random_exhaust,low,0.5,0.5,0.5,v3 quantified/scenario rule
CLASH,격돌,Clash,clause,1,Can only be played if every card in your Hand is an Attack.,all_attack_hand_gate,low,-7.0,-2.1,0.0,0%/70%/100% availability × printed payoff
CLASH,격돌,Clash,clause,2,Deal 14 damage.,atomic_fixed,high,7.0,7.0,7.0,v3 quantified/scenario rule
CLAW,후벼 파기,Claw,clause,1,Deal 3 damage.,atomic_fixed,high,1.5,1.5,1.5,v3 quantified/scenario rule
CLAW,후벼 파기,Claw,clause,2,Increase the damage of ALL Claw cards by 2 this combat.,archetype_damage_growth,low,1.0,3.5,18.0,future matching-card hits
CLEANSE,정화,Cleanse,clause,1,Summon 3.,atomic_fixed,high,3.3,3.3,3.3,v3 quantified/scenario rule
CLEANSE,정화,Cleanse,clause,2,Exhaust 1 card from your Draw Pile.,atomic_selected_exhaust,medium,1.0,1.0,1.0,v3 quantified/scenario rule
CLOAK_AND_DAGGER,망토와 단검,Cloak and Dagger,clause,1,Gain 6 Block.,atomic_fixed,high,3.6,3.6,3.6,v3 quantified/scenario rule
CLOAK_AND_DAGGER,망토와 단검,Cloak and Dagger,clause,2,Add 1 Shiv into your Hand.,atomic_fixed,high,1.9,1.9,1.9,v3 quantified/scenario rule
CLOAK_OF_STARS,별의 망토,Cloak of Stars,clause,1,Gain 7 Block.,atomic_fixed,high,4.2,4.2,4.2,v3 quantified/scenario rule
CLOAK_OF_STARS,별의 망토,Cloak of Stars,printed_cost,,Spend 1 Stars to play this card,cost_star_spend,low,-2.0,-2.0,-2.0,printed Star payment: 1 × -2.0
CLUMSY,서투름,Clumsy,keyword,,keyword_ethereal_cleanup,keyword_ethereal_cleanup,medium,1.0,1.0,1.0,removes harmful card
