card_id,name_ko,name_en,pool,rarity,cost,type,score_low,score_baseline,score_high,score_width,confidence_score,confidence_grade,low_confidence_effects,fallback_effects,benchmark_v4,benchmark_method,benchmark_comparable,residual_low,residual_baseline,residual_high,rank_low_scenario,rank_baseline_scenario,rank_high_scenario,rank_span,rank_stability,rules,description_en
ANGER,분노,Anger,ironclad,Common,E0,Attack,2.5,3.5,5.5,3.0,0.884,B,1,0,2.7,v3_table,True,-0.2,0.8,2.8,65,81,74,16,0.814,atomic_copy_self_discard|atomic_fixed,Deal 6 damage. Add a copy of this card into your Discard Pile.
ANOINTED,임명,Anointed,colorless,Rare,E1,Skill,2.0,6.0,13.0,11.0,0.458,C,1,0,9.0,v3_table,True,-7.0,-3.0,4.0,46,40,25,21,0.667,bulk_tutor_to_hand|keyword_exhaust,Put every Rare card from your Draw Pile into your Hand.
ANTICIPATE,예측,Anticipate,silent,Common,E0,Skill,1.6,1.6,1.6,0.0,1.0,A,0,0,2.7,v3_table,True,-1.1,-1.1,-1.1,70,87,87,17,0.805,atomic_temporary_stat,Gain 2 Dexterity this turn.
APOTHEOSIS,신성,Apotheosis,event,Ancient,E2,Skill,11.5,24.5,44.5,33.0,0.437,C,1,0,,special_pool_raw_score,False,,,,3,1,1,2,0.923,keyword_exhaust|keyword_innate|upgrade_all_cards,Upgrade ALL your cards.
APPARITION,영체화,Apparition,event,Ancient,E1,Skill,10.0,10.0,10.0,0.0,0.96,A,0,0,,special_pool_raw_score,False,,,,4,5,11,7,0.731,atomic_intangible|keyword_ethereal|keyword_exhaust,Gain 1 Intangible.
ARMAMENTS,전투장비,Armaments,ironclad,Common,E1,Skill,5.0,5.0,5.0,0.0,0.888,B,0,0,5.3,v3_table,True,-0.3,-0.3,-0.3,32,66,78,46,0.465,atomic_fixed|atomic_upgrade,Gain 5 Block. Upgrade a card in your Hand.
ARSENAL,무기고,Arsenal,regent,Rare,E1,Power,3.25,11.375,58.5,55.25,0.72,C,0,0,6.5,v3_table,True,-3.25,4.875,52.0,49,13,2,47,0.46,atomic_fixed+event_triggers,"Whenever you create a card, gain 1 Strength."
ASCENDERS_BANE,등반자의 골칫거리,Ascender's Bane,curse,Curse,E-1,Curse,-2.0,-1.25,-0.75,1.25,0.72,B,0,0,,special_pool_raw_score,False,,,,7,7,7,0,1.0,keyword_eternal_meta|keyword_ethereal_cleanup|keyword_unplayable,
ASHEN_STRIKE,잿빛 타격,Ashen Strike,ironclad,Uncommon,E1,Attack,4.5,6.3,18.0,13.5,0.852,C,0,0,6.5,v3_table,True,-2.0,-0.2,11.5,43,50,30,20,0.767,additional_damage_scaling|atomic_fixed,Deal 6 damage. Deals 3 additional damage for each card in your Exhaust Pile.
ASSASSINATE,암살,Assassinate,silent,Rare,E0,Attack,6.5,6.5,6.5,0.0,0.885,B,0,0,6.5,v3_table,True,0.0,0.0,0.0,11,41,60,49,0.437,atomic_fixed|keyword_exhaust|keyword_innate,Deal 10 damage. Apply 1 Vulnerable.
ASTRAL_PULSE,별의 파동,Astral Pulse,regent,Common,E0+S3,Attack,1.8,2.05,2.55,0.75,0.747,B,1,0,2.7,energy_table_star_cost_separated,True,-0.9,-0.65,-0.15,74,82,82,8,0.908,atomic_fixed|cost_star_spend|multi_hit_strength_synergy,Deal 6 damage to ALL enemies twice.
AUTOMATION,자동화,Automation,colorless,Uncommon,E1,Power,0.0,4.5,10.0,10.0,0.42,C,1,0,6.8,v3_table,True,-6.8,-2.3,3.2,58,48,33,25,0.603,atomic_fixed+threshold_triggers,"Every 10 cards you draw, gain 1 Energy."
BACKFLIP,공중제비,Backflip,silent,Common,E1,Skill,6.4,6.4,6.4,0.0,0.851,B,0,0,5.3,v3_table,True,1.1,1.1,1.1,15,43,62,47,0.46,atomic_fixed,Gain 5 Block. Draw 2 cards.
BACKSTAB,배신,Backstab,silent,Uncommon,E0,Attack,5.0,5.0,5.0,0.0,0.94,A,0,0,4.3,v3_table,True,0.7,0.7,0.7,29,64,73,44,0.494,atomic_fixed|keyword_exhaust|keyword_innate,Deal 11 damage.
BAD_LUCK,불운,Bad Luck,curse,Curse,E-1,Curse,-45.9,-20.768,-1.75,44.15,0.72,C,0,0,,special_pool_raw_score,False,,,,18,18,15,3,0.824,atomic_fixed+condition_probability+recurring_turns|keyword_eternal_meta|keyword_unplayable,"At the end of your turn, if this is in your Hand, lose 13 HP."
BALL_LIGHTNING,번개 구체,Ball Lightning,defect,Common,E1,Attack,5.7,5.7,5.7,0.0,0.892,B,0,0,5.3,v3_table,True,0.4,0.4,0.4,28,52,65,37,0.575,atomic_fixed,Deal 7 damage. Channel 1 Lightning.
BANSHEES_CRY,밴시의 외침,Banshee's Cry,necrobinder,Rare,E9,Attack,26.45,32.45,43.95,17.5,0.905,C,0,0,,unsupported_high_energy_cost,False,,,,1,1,4,3,0.966,atomic_fixed|cost_reduction_scaling_capped,Deal 33 damage to ALL enemies. Costs 2 Energy less for each Ethereal card played this combat.
BARRAGE,일제 사격,Barrage,defect,Common,E1,Attack,2.5,5.5,25.0,22.5,0.72,C,0,0,5.3,v3_table,True,-2.8,0.2,19.7,61,55,16,45,0.483,atomic_fixed+scaling_count,Deal 5 damage for each Channeled Orb.
BARRICADE,바리케이드,Barricade,ironclad,Rare,E3,Power,6.0,15.0,30.0,24.0,0.42,C,1,0,20.0,v3_table,True,-14.0,-5.0,10.0,24,11,12,13,0.849,retain_block_power,Block is not removed at the start of your turn.
BASH,강타,Bash,ironclad,Basic,E2,Attack,8.0,8.0,8.0,0.0,0.86,B,0,0,6.0,v3_table,True,2.0,2.0,2.0,15,33,56,41,0.523,atomic_fixed,Deal 8 damage. Apply 2 Vulnerable.
BATTLE_TRANCE,전투 최면,Battle Trance,ironclad,Uncommon,E0,Skill,0.0,2.15,5.55,5.55,0.606,C,1,0,4.3,v3_table,True,-4.3,-2.15,1.25,83,87,72,15,0.826,atomic_fixed|atomic_no_more_draw,Draw 3 cards. You cannot draw additional cards this turn.
BEACON_OF_HOPE,희망의 등불,Beacon of Hope,colorless,Rare,E1,Power,0.9,4.5,18.0,17.1,0.42,C,1,0,9.0,v3_table,True,-8.1,-4.5,9.0,54,49,12,42,0.333,coop_share_half_block,"Whenever you gain Block on your turn, other players gain half that much Block."
BEAM_CELL,레이저 포인터,Beam Cell,defect,Common,E0,Attack,3.5,3.5,3.5,0.0,0.84,B,0,0,2.7,v3_table,True,0.8,0.8,0.8,46,72,78,32,0.632,atomic_fixed,Deal 3 damage. Apply 1 Vulnerable.
BEAT_DOWN,두들겨 패기,Beat Down,colorless,Rare,E3,Skill,6.0,12.0,21.0,15.0,0.42,C,1,0,14.5,v3_table,True,-8.5,-2.5,6.5,21,8,10,13,0.794,auto_play_from_pile,Play 3 random Attacks from your Discard Pile.
BEAT_INTO_SHAPE,재성형,Beat into Shape,regent,Rare,E1,Attack,2.83,6.79,20.32,17.49,0.619,C,2,0,6.5,v3_table,True,-3.67,0.29,13.82,59,33,15,44,0.494,atomic_fixed|atomic_fixed+x_value|forge_per_prior_hit,Deal 5 damage. Forge X. Forges an additional 5 for every other time you've hit the enemy this turn.
BECKON,유인,Beckon,status,Status,E1,Status,-19.8,-8.547,0.0,19.8,0.72,C,0,0,,special_pool_raw_score,False,,,,12,12,6,6,0.455,atomic_fixed+condition_probability+recurring_turns,"At the end of your turn, if this is in your Hand, lose 6 HP."
BEGONE,물렀거라!,BEGONE!,regent,Common,E1,Skill,3.25,3.25,3.25,0.0,0.72,B,0,0,5.3,v3_table,True,-2.05,-2.05,-2.05,50,65,73,23,0.736,transform_to_minion_strike,Choose a card in your Hand to Transform into Minion Strike.
BELIEVE_IN_YOU,너만 믿는다,Believe in You,colorless,Uncommon,E0,Skill,3.75,3.75,3.75,0.0,0.72,B,0,0,4.25,v3_table,True,-0.5,-0.5,-0.5,32,53,55,23,0.635,coop_energy,Another player gains 2 Energy.
BIASED_COGNITION,인지 편향,Biased Cognition,defect,Ancient,E1,Power,-13.0,1.95,26.0,39.0,0.576,C,1,0,,unsupported_rarity_raw_score,False,,,,88,85,15,73,0.161,atomic_fixed|atomic_lose_focus_conditional_stock+recurring_turns,"Gain 4 Focus. At the start of your turn, lose 1 Focus."
BIG_BANG,빅뱅,Big Bang,regent,Rare,E0,Skill,5.9,5.9,5.9,0.0,0.663,C,1,0,6.5,v3_table,True,-0.6,-0.6,-0.6,25,41,56,31,0.644,atomic_fixed|keyword_exhaust,Draw 1 card. Gain 1 Energy. Gain 1 Stars. Forge 5.
BLACK_HOLE,블랙홀,Black Hole,regent,Uncommon,E1,Power,1.95,6.825,35.1,33.15,0.42,C,1,0,6.5,v3_table,True,-4.55,0.325,28.6,71,32,4,67,0.23,atomic_fixed+event_triggers,"Whenever you spend or gain 1 Stars, deal 3 damage to ALL enemies."
BLADE_DANCE,검무,Blade Dance,silent,Common,E1,Skill,4.7,4.7,4.7,0.0,0.958,A,0,0,5.3,v3_table,True,-0.6,-0.6,-0.6,34,69,77,43,0.506,atomic_fixed|keyword_exhaust,Add 3 Shivs into your Hand.
BLADE_OF_INK,잉크 칼날,Blade of Ink,silent,Rare,E1,Skill,5.0,5.0,5.0,0.0,1.0,A,0,0,6.5,v3_table,True,-1.5,-1.5,-1.5,30,65,74,44,0.494,atomic_inky_shiv,Add 2 Inky Shivs into your Hand.
BLIGHT_STRIKE,역병 타격,Blight Strike,necrobinder,Common,E1,Attack,6.16,6.16,6.16,0.0,1.0,A,0,0,5.3,v3_table,True,0.86,0.86,0.86,22,48,62,40,0.54,atomic_fixed|doom_equal_damage,Deal 8 damage. Apply Doom equal to damage dealt.
BLOODLETTING,사혈,Bloodletting,ironclad,Common,E0,Skill,3.35,3.35,3.35,0.0,0.789,B,0,0,2.7,v3_table,True,0.65,0.65,0.65,54,82,85,31,0.64,atomic_fixed,Lose 3 HP. Gain 2 Energy.
BLOOD_WALL,피의 벽,Blood Wall,ironclad,Common,E2,Skill,8.5,8.5,8.5,0.0,1.0,A,0,0,9.0,v3_table,True,-0.5,-0.5,-0.5,13,28,53,40,0.535,atomic_fixed,Lose 2 HP. Gain 16 Block.
BLUDGEON,몽둥이질,Bludgeon,ironclad,Uncommon,E3,Attack,16.0,16.0,16.0,0.0,1.0,A,0,0,16.0,v3_table,True,0.0,0.0,0.0,4,9,33,29,0.663,atomic_fixed,Deal 32 damage.
BLUR,흐릿함,Blur,silent,Uncommon,E1,Skill,5.0,8.0,13.0,8.0,0.637,C,1,0,6.5,v3_table,True,-1.5,1.5,6.5,31,27,35,8,0.908,atomic_fixed|retain_block_once,Gain 5 Block. Block is not removed at the start of your next turn.
BODYGUARD,호위,Bodyguard,necrobinder,Basic,E1,Skill,5.5,5.5,5.5,0.0,1.0,A,0,0,3.0,v3_table,True,2.5,2.5,2.5,32,55,69,37,0.575,atomic_fixed,Summon 5.
BODY_SLAM,몸통 박치기,Body Slam,ironclad,Common,E1,Attack,2.5,7.5,15.0,12.5,0.42,C,1,0,5.3,v3_table,True,-2.8,2.2,9.7,66,40,35,31,0.64,equal_to_quantity,Deal damage equal to your Block.
BOLAS,사냥돌,Bolas,colorless,Rare,E0,Attack,3.9,3.9,3.9,0.0,0.643,C,1,0,5.0,v3_table,True,-1.1,-1.1,-1.1,31,52,54,23,0.635,atomic_delayed_self_return|atomic_fixed,"Deal 3 damage. At the start of your next turn, return this to your Hand."
BOMBARDMENT,포격,Bombardment,regent,Rare,E3,Attack,13.0,22.0,28.0,15.0,0.65,C,1,0,20.0,v3_table,True,-7.0,2.0,8.0,6,2,7,5,0.943,atomic_fixed|keyword_exhaust|self_auto_replay,"Deal 18 damage. At the start of your turn, if this is in your Exhaust Pile, play it."
BONE_SHARDS,뼛조각,Bone Shards,necrobinder,Uncommon,E1,Attack,-25.0,-2.535,7.665,32.665,0.548,C,1,0,6.5,v3_table,True,-31.5,-9.035,1.165,88,88,53,35,0.598,osty_alive_combo|osty_death,"If Osty is alive, he deals 9 damage to ALL enemies and you gain 9 Block. Osty dies."
BOOST_AWAY,가속 이탈,Boost Away,defect,Common,E0,Skill,2.7,2.7,2.7,0.0,1.0,A,0,0,2.7,v3_table,True,-0.0,-0.0,-0.0,58,81,83,25,0.713,atomic_fixed,Gain 6 Block. Add a Dazed into your Discard Pile.
BOOT_SEQUENCE,부팅 과정,Boot Sequence,defect,Uncommon,E0,Skill,5.5,5.5,5.5,0.0,0.944,A,0,0,4.3,v3_table,True,1.2,1.2,1.2,32,56,68,36,0.586,atomic_fixed|keyword_exhaust|keyword_innate,Gain 10 Block.
BORROWED_TIME,연명,Borrowed Time,necrobinder,Uncommon,E1,Skill,0.0,5.0,7.5,7.5,0.62,C,1,0,6.5,v3_table,True,-6.5,-1.5,1.0,79,63,54,25,0.713,atomic_fixed|hand_cost_increase,Gain 4 Energy. Cards cost an additional 1 Energy this turn.
BOUNCING_FLASK,탄성 플라스크,Bouncing Flask,silent,Uncommon,E2,Skill,8.1,8.1,8.1,0.0,0.42,C,1,0,11.0,v3_table,True,-2.9,-2.9,-2.9,8,25,55,47,0.46,atomic_random_target_poison,Apply 3 Poison to a random enemy 3 times.
BRAND,낙인,Brand,ironclad,Rare,E0,Skill,3.7,3.7,3.7,0.0,1.0,A,0,0,6.5,v3_table,True,-2.8,-2.8,-2.8,53,80,84,31,0.64,atomic_fixed|atomic_selected_exhaust,Lose 1 HP. Exhaust 1 card. Gain 1 Strength.
BREAK,박살,Break,ironclad,Ancient,E1,Attack,20.0,20.0,20.0,0.0,0.86,B,0,0,,unsupported_rarity_raw_score,False,,,,1,3,27,26,0.698,atomic_fixed,Deal 20 damage. Apply 5 Vulnerable.
BREAKTHROUGH,정면 돌파,Breakthrough,ironclad,Common,E1,Attack,5.3,5.3,5.3,0.0,1.0,A,0,0,5.3,v3_table,True,0.0,0.0,0.0,28,62,76,48,0.442,atomic_fixed,Lose 1 HP. Deal 9 damage to ALL enemies.
BRIGHTEST_FLAME,찬란한 불꽃,Brightest Flame,event,Ancient,E0,Skill,6.9,6.9,6.9,0.0,0.72,B,0,0,,special_pool_raw_score,False,,,,10,14,19,9,0.654,atomic_fixed|meta_max_hp_loss,Gain 2 Energy. Draw 2 cards. Lose 1 Max HP.
BUBBLE_BUBBLE,차오르는 독,Bubble Bubble,silent,Uncommon,E1,Skill,0.0,6.3,9.0,9.0,0.72,C,0,0,6.5,v3_table,True,-6.5,-0.2,2.5,79,44,51,35,0.598,atomic_fixed+condition_probability,"If the enemy has Poison, apply 9 Poison."
BUFFER,버퍼,Buffer,defect,Rare,E2,Power,3.0,8.0,18.0,15.0,0.42,C,1,0,17.0,v3_table,True,-14.0,-9.0,1.0,53,35,30,23,0.736,buffer_prevention,Prevent the next time you would lose HP.
BULK_UP,증강,Bulk Up,defect,Uncommon,E2,Power,10.5,10.5,10.5,0.0,1.0,A,0,0,11.0,v3_table,True,-0.5,-0.5,-0.5,8,21,45,37,0.575,atomic_fixed|atomic_orb_slot_loss,Lose 1 Orb Slot. Gain 2 Strength. Gain 2 Dexterity.
BULLET_TIME,불릿 타임,Bullet Time,silent,Rare,E3,Skill,-3.05,9.1,25.0,28.05,0.42,C,2,0,20.0,v3_table,True,-23.05,-10.9,5.0,87,21,10,77,0.115,atomic_free_hand|atomic_no_more_draw,You cannot draw additional cards this turn. ALL cards in your Hand are free to play this turn.
BULLY,협박,Bully,ironclad,Uncommon,E0,Attack,3.0,4.2,12.0,9.0,0.852,C,0,0,4.3,v3_table,True,-1.3,-0.1,7.7,58,78,42,36,0.581,additional_damage_scaling|atomic_fixed,Deal 4 damage. Deals 2 additional damage for each Vulnerable on the enemy.
BULWARK,보루,Bulwark,regent,Uncommon,E2,Skill,10.5,10.5,10.5,0.0,0.912,A,0,0,11.0,v3_table,True,-0.5,-0.5,-0.5,11,16,34,23,0.736,atomic_fixed,Gain 12 Block. Forge 10.
BUNDLE_OF_JOY,기쁨의 선물,Bundle of Joy,regent,Rare,E1,Skill,4.0,6.5,9.0,5.0,0.455,C,1,0,6.5,v3_table,True,-2.5,0.0,2.5,43,34,41,9,0.897,keyword_exhaust|three_random_colorless_diminishing,Add 3 random Colorless cards into your Hand.
BURN,화상,Burn,status,Status,E-1,Status,-8.6,-4.099,-0.75,7.85,0.72,C,0,0,,special_pool_raw_score,False,,,,8,8,7,1,0.909,atomic_self_damage+condition_probability+recurring_turns|keyword_unplayable,"At the end of your turn, if this is in your Hand, take 2 damage."
BURNING_PACT,불타는 조약,Burning Pact,ironclad,Uncommon,E1,Skill,4.4,4.4,4.4,0.0,0.784,B,0,0,6.5,v3_table,True,-2.1,-2.1,-2.1,47,74,83,36,0.581,atomic_fixed|atomic_selected_exhaust,Exhaust 1 card. Draw 2 cards.
BURST,폭주,Burst,silent,Rare,E1,Skill,2.0,5.0,10.0,8.0,0.42,C,1,0,6.5,v3_table,True,-4.5,-1.5,3.5,63,66,47,19,0.782,next_card_replay,"This turn, your next Skill is played an extra time."
BURY,매장,Bury,necrobinder,Uncommon,E4,Attack,26.0,26.0,26.0,0.0,1.0,A,0,0,26.0,v3_table,True,0.0,0.0,0.0,2,2,11,9,0.897,atomic_fixed,Deal 52 damage.
BYRDONIS_EGG,섀도니스 알,Byrdonis Egg,quest,Quest,E-1,Quest,-2.0,2.75,11.25,13.25,0.491,C,1,0,,special_pool_raw_score,False,,,,2,2,2,0,1.0,keyword_unplayable|meta_event_unlock,Can be hatched at a Rest Site.
BYRD_SWOOP,섀 급습,Byrd Swoop,event,Event,E0,Attack,7.0,7.0,7.0,0.0,1.0,A,0,0,,special_pool_raw_score,False,,,,9,12,17,8,0.692,atomic_fixed,Deal 14 damage.
CALAMITY,재앙,Calamity,colorless,Rare,E3,Power,3.0,10.5,54.0,51.0,0.42,C,1,0,14.5,v3_table,True,-11.5,-4.0,39.5,35,13,2,33,0.476,atomic_random_attack_card+event_triggers,"Whenever you play an Attack, add a random Attack into your Hand."
CALCIFY,석회화,Calcify,necrobinder,Uncommon,E1,Power,1.8,6.3,32.4,30.6,0.42,C,1,0,6.5,v3_table,True,-4.7,-0.2,25.9,70,45,8,62,0.287,osty_damage_aura,Osty's attacks deal 4 additional damage.
CALCULATED_GAMBLE,계산된 도박,Calculated Gamble,silent,Uncommon,E0,Skill,0.0,3.0,7.0,7.0,0.48,C,1,0,4.3,v3_table,True,-4.3,-1.3,2.7,80,78,57,23,0.736,hand_redraw_equal|keyword_exhaust,"Discard your Hand, then draw that many cards."
CALL_OF_THE_VOID,공허의 부름,Call of the Void,necrobinder,Rare,E1,Power,3.25,10.35,17.75,14.5,0.439,C,1,0,6.5,v3_table,True,-3.25,3.85,11.25,56,20,30,36,0.586,atomic_random_card_card+recurring_turns|generated_card_ethereal,"At the start of your turn, add 1 random card into your Hand. It gains Ethereal."
CALTROPS,마름쇠,Caltrops,event,Event,E1,Power,1.5,4.5,12.0,10.5,0.42,C,1,0,,special_pool_raw_score,False,,,,23,20,7,16,0.385,retaliation_damage,"Whenever you are attacked, deal 3 damage back."
CAPACITOR,축전기,Capacitor,defect,Uncommon,E1,Power,5.0,5.0,5.0,0.0,0.72,B,0,0,6.5,v3_table,True,-1.5,-1.5,-1.5,38,61,72,34,0.609,atomic_orb_slot,Gain 2 Orb Slots.
CAPTURE_SPIRIT,혼령 포획,Capture Spirit,necrobinder,Uncommon,E1,Skill,4.65,4.65,4.65,0.0,0.819,B,0,0,6.5,v3_table,True,-1.85,-1.85,-1.85,43,67,75,32,0.632,atomic_fixed|atomic_hp_bypass,Enemy loses 3 HP. Add 3 Souls into your Draw Pile.
CASCADE,연쇄,Cascade,ironclad,Rare,EX,Skill,2.0,8.0,28.0,26.0,0.42,C,1,0,17.0,x_as_2_energy,True,-15.0,-9.0,11.0,69,34,15,54,0.372,x_topdeck_autoplay,Play the top X cards of your Draw Pile.
CATASTROPHE,재난,Catastrophe,colorless,Uncommon,E2,Skill,4.0,8.0,14.0,10.0,0.42,C,1,0,12.0,v3_table,True,-8.0,-4.0,2.0,28,19,22,9,0.857,auto_play_from_pile,Play 2 random cards from your Draw Pile.
CELESTIAL_MIGHT,천상의 권능,Celestial Might,regent,Common,E2,Attack,9.0,9.5,10.5,1.5,0.985,B,0,0,9.0,v3_table,True,0.0,0.5,1.5,13,18,35,22,0.747,atomic_fixed|multi_hit_strength_synergy,Deal 6 damage 3 times.
CHAOS,혼돈,Chaos,defect,Uncommon,E1,Skill,3.2,3.2,3.2,0.0,0.72,B,0,0,6.5,v3_table,True,-3.3,-3.3,-3.3,51,76,80,29,0.667,random_orb,Channel 1 random Orb.
CHARGE,돌격!!,CHARGE!!,regent,Uncommon,E1,Skill,5.0,8.0,11.0,6.0,0.42,C,1,0,6.5,v3_table,True,-1.5,1.5,4.5,38,25,33,13,0.851,transform_two_to_dive_bombs,Choose 2 cards in your Draw Pile to Transform into Minion Dive Bombs.
CHARGE_BATTERY,배터리 충전,Charge Battery,defect,Common,E1,Skill,6.2,6.2,6.2,0.0,0.91,A,0,0,5.3,v3_table,True,0.9,0.9,0.9,25,46,62,37,0.575,atomic_fixed|atomic_fixed+delay_next_turn,"Gain 7 Block. Next turn, gain 1 Energy."
CHILD_OF_THE_STARS,별의 아이,Child of the Stars,regent,Uncommon,E1,Power,1.2,9.24,216.0,214.8,0.42,C,1,0,6.5,v3_table,True,-5.3,2.74,209.5,76,20,1,75,0.138,atomic_fixed+event_triggers+scaling_count,"Whenever you spend 1 Stars, gain 2 Block for each 1 Stars spent."
CHILL,오한,Chill,defect,Uncommon,E0,Skill,2.2,6.04,31.0,28.8,0.457,C,1,0,4.3,v3_table,True,-2.1,1.74,26.7,66,48,10,56,0.356,atomic_fixed+scaling_count|keyword_exhaust,Channel 1 Frost for each enemy.
CINDER,잿불,Cinder,ironclad,Common,E2,Attack,9.5,9.5,9.5,0.0,0.969,A,1,0,9.0,v3_table,True,0.5,0.5,0.5,10,25,51,41,0.523,atomic_fixed|atomic_random_exhaust,Deal 18 damage. Exhaust 1 card at random.
CLASH,격돌,Clash,event,Event,E0,Attack,0.0,4.9,7.0,7.0,0.866,C,1,0,,special_pool_raw_score,False,,,,26,18,18,8,0.692,all_attack_hand_gate|atomic_fixed,Can only be played if every card in your Hand is an Attack. Deal 14 damage.
CLAW,후벼 파기,Claw,defect,Common,E0,Attack,2.5,5.0,19.5,17.0,0.571,C,1,0,2.7,v3_table,True,-0.2,2.3,16.8,62,62,24,38,0.563,archetype_damage_growth|atomic_fixed,Deal 3 damage. Increase the damage of ALL Claw cards by 2 this combat.
CLEANSE,정화,Cleanse,necrobinder,Uncommon,E1,Skill,4.3,4.3,4.3,0.0,0.935,A,0,0,6.5,v3_table,True,-2.2,-2.2,-2.2,48,72,78,30,0.655,atomic_fixed|atomic_selected_exhaust,Summon 3. Exhaust 1 card from your Draw Pile.
CLOAK_AND_DAGGER,망토와 단검,Cloak and Dagger,silent,Common,E1,Skill,5.5,5.5,5.5,0.0,1.0,A,0,0,5.3,v3_table,True,0.2,0.2,0.2,21,58,69,48,0.448,atomic_fixed,Gain 6 Block. Add 1 Shiv into your Hand.
CLOAK_OF_STARS,별의 망토,Cloak of Stars,regent,Common,E0+S1,Skill,2.2,2.2,2.2,0.0,0.813,B,1,0,2.7,energy_table_star_cost_separated,True,-0.5,-0.5,-0.5,67,81,84,17,0.805,atomic_fixed|cost_star_spend,Gain 7 Block.
CLUMSY,서투름,Clumsy,curse,Curse,E-1,Curse,-1.0,-0.25,0.25,1.25,0.72,B,0,0,,special_pool_raw_score,False,,,,2,3,3,1,0.941,keyword_ethereal_cleanup|keyword_unplayable,
COLD_SNAP,꽃샘추위,Cold Snap,defect,Common,E1,Attack,6.2,6.2,6.2,0.0,0.855,B,0,0,5.3,v3_table,True,0.9,0.9,0.9,26,47,63,37,0.575,atomic_fixed,Deal 6 damage. Channel 1 Frost.
COLLISION_COURSE,불가피한 충돌,Collision Course,regent,Common,E0,Attack,2.7,2.7,2.7,0.0,1.0,A,0,0,2.7,v3_table,True,0.0,0.0,0.0,62,76,81,19,0.782,atomic_fixed,Deal 11 damage. Add a Debris into your Hand.
